Chr	WT O1	WT O2	MUT O1	MUT O2	WT Term Ratio	MUT Term Ratio	Corr Coeff	Euclidean Dist	FirstDer Corr	FirstDer Dist	SecDer Corr	SecDer Dist
1	31254	42057	31179	40502	0.617791354253	0.735278343881	0.983460309979	27.9211180646	0.916228494889	29.7477152143	0.909849644519	1.36969538208
1	42057	70645	40502	70679	0.203861760179	0.143000740078	0.781390329136	75.4542596303	0.877505400955	64.3476534629	0.809928889619	3.28762796208
1	70645	147675	70679	147775	0.327807347787	0.556340147349	0.922337389481	434.237268105	0.846444594325	132.044907314	0.771876486281	5.89672097784
1	147675	159639	147775	159619	0.426446004681	0.338990206011	0.91168071206	110.263856018	0.921330823591	63.2636440441	0.822002245804	2.41623084289
1	159639	176146	159619	176230	0.458653904404	0.418879056047	0.98032546664	75.0142038173	0.96533602975	88.7852353163	0.901201321292	9.19001375153
2	63399	198436	63430	197951	0.463310055762	0.699165929483	0.945324707059	525.082676192	0.906611038085	61.0106587664	0.76430922068	1.37931477563
2	198436	240154	197951	239844	0.457596241431	0.64633709689	0.890036890515	353.587127066	0.874988452627	50.0903607029	0.721907250795	1.0685250948
2	240154	255011	239844	254708	0.189607592381	0.0836921420883	0.839963898156	108.414177528	0.786371893374	44.3869886774	0.691784203757	0.940195504869
2	255011	326286	254708	326195	0.354394949141	0.635821897688	0.886331434388	308.106092225	0.677125356194	74.6326919268	0.340469224885	3.48182197633
2	326286	407934	326195	407647	0.335011267882	0.655310284994	0.846595281029	393.611874226	0.788466000378	64.5135444923	0.719081715006	1.05098536361
2	407934	486935	407647	486773	0.558638498247	0.519626924146	0.986230849312	353.534356466	0.948567925753	33.8367927672	0.806531333837	0.839928036008
2	486935	623591	486773	623441	0.509066561293	0.451850469752	0.984505101782	291.714855103	0.920249379161	40.9336987262	0.822894116118	1.04098375263
2	623591	704903	623441	705200	0.722956021251	0.52292713952	0.924954994154	307.241074023	0.925186421853	31.9041369536	0.906488440122	0.746427047508
2	704903	741888	705200	741567	0.804542382047	0.835345230566	0.989604123466	55.7259613762	0.978813328772	13.7949390562	0.936095641831	0.320082151703
3	39589	74291	39521	74217	0.514696559276	0.50553377911	0.996320419584	144.448193639	0.941480871248	56.5788669525	0.850471438232	2.66538746657
3	74291	109344	74217	109549	0.32562120218	0.382938978829	0.405923013563	1114.17988455	-0.181335194635	711.927587966	-0.0665058773628	52.3227724753
3	109344	132215	109549	132560	0.696908749071	0.70227282604	0.961644817501	91.1901452235	0.874911231245	54.9693795035	0.74650909751	2.41927210696
3	132215	166907	132560	166789	0.487720511934	0.433258348184	0.880380966065	308.131331234	0.241236265353	408.672274085	0.055419075006	62.8815587914
3	166907	225035	166789	225090	0.349022846133	0.442508133079	0.973663959721	202.794622567	0.860741230626	90.0190132208	0.789833797926	3.29174460987
3	225035	272661	225090	272926	0.874522319741	0.816100844552	0.986905663034	193.05819511	0.943630887031	46.6094477018	0.899917689368	1.943162121
4	47597	125254	46901	124271	0.370320769538	0.52985653354	0.977833350062	185.538225978	0.96533505338	17.1462434314	0.901704759413	0.320787287846
4	125254	215514	124271	215320	0.539253268336	0.492613867258	0.986334618228	188.791939307	0.967566155264	20.1138334259	0.91747475018	0.369536310434
4	215514	231113	215320	232455	0.506635040708	0.353195214473	0.982769719791	49.7977825592	0.966331026734	8.56572263023	0.958089737823	0.181294607861
4	231113	328569	232455	329184	0.463183385323	0.469300830154	0.992858639716	350.880154932	0.964685887364	27.1681328685	0.840048978758	0.565519510993
4	328569	410488	329184	409659	0.52410307743	0.480012426219	0.97727399735	318.174208601	0.949328433019	27.7335055638	0.768683984276	0.445630331092
4	410488	436495	409659	436261	0.301764909447	0.333959852643	0.981673532994	103.627634811	0.992299192336	19.373363785	0.934304134243	0.310511337806
4	436495	461624	436261	461930	0.478968522424	0.356227355955	0.98961004113	46.1528014928	0.976250916564	9.44979014388	0.930700510458	0.273246830854
4	461624	503388	461930	504397	0.77588353606	0.645607177338	0.924964561953	152.555209393	0.945350772138	18.229990355	0.922745913395	0.343951484469
4	503388	555675	504397	555167	0.449365999197	0.455318101241	0.964574732357	161.679316623	0.94739792624	23.9185703292	0.900661840162	0.435637851635
4	555675	631066	555167	631703	0.800108766298	0.778117487196	0.959071295484	309.263083305	0.92543081046	21.709287264	0.850321312175	0.426031952817
4	631066	703357	631703	703242	0.526123583849	0.464306182642	0.930607507589	165.181160187	0.934786308982	18.5314276863	0.898201629707	0.317688496012
4	703357	750119	703242	750377	0.598434626406	0.620409462183	0.986770864936	78.2557079466	0.961751397426	15.0396527092	0.949723417851	0.217530016954
4	750119	807692	750377	808247	0.530352769527	0.556333160532	0.990849669468	136.923367976	0.952646687396	18.6425667885	0.878171728629	0.23948215704
4	807692	914592	808247	915087	0.181824134705	0.46842006739	0.920687805239	251.423756266	0.94734665571	25.0040603055	0.874053654643	0.397034620103
4	914592	1018140	915087	1019818	0.522801019817	0.531008011	0.981043464796	272.748877163	0.941386073982	31.1888006671	0.826254078463	0.406042567779
4	1018140	1056365	1019818	1056468	0.711288423806	0.561473396999	0.905770760726	232.367854919	0.942024864934	18.4057522831	0.843506334072	0.349669479229
