"Chr"	"WT.O1"	"WT.O2"	"MUT.O1"	"MUT.O2"	"WT.Term.Ratio"	"MUT.Term.Ratio"	"Corr.Coeff"	"Euclidean.Dist"	"FirstDer.Corr"	"FirstDer.Dist"	"SecDer.Corr"	"SecDer.Dist"
1	70645	147675	70679	147775	0.327807347787	0.556340147349	0.922337389481	434.231783952	0.845059656549	132.022216201	0.771876486283	5.89672097784
2	63399	198436	63430	197951	0.463310055762	0.699165929483	0.945324707059	524.926355968	0.903314262611	60.002478943	0.771437623244	1.35364896332
2	198436	240154	197951	239844	0.457596241431	0.64633709689	0.890036890515	353.57794486	0.876420495051	49.49854759	0.715897177235	1.06226959618
2	255011	326286	254708	326195	0.354394949141	0.635821897688	0.886331434388	308.10463249	0.672551471427	74.5836109626	0.340469224886	3.48182197633
2	326286	407934	326195	407647	0.335011267882	0.655310284994	0.846595281029	393.587361821	0.785307349709	63.2059510758	0.719081716944	1.05098536361
2	407934	486935	407647	486773	0.558638498247	0.519626924146	0.986230849312	353.527032008	0.947372134652	33.7204882492	0.803063325295	0.8394566318
2	486935	623591	486773	623441	0.509066561293	0.451850469752	0.984505101782	291.70962918	0.919163947443	40.8397197464	0.82289411611	1.04098375263
2	623591	704903	623441	705200	0.722956021251	0.52292713952	0.924954994154	307.221940675	0.92363597902	31.8618128577	0.906488440109	0.746427047508
3	132215	166907	132560	166789	0.487720511934	0.433258348184	0.880380966065	308.117683269	0.235082146782	408.671910225	0.0553436507414	62.8813596052
4	231113	328569	232455	329184	0.463183385323	0.469300830154	0.992858639716	350.758507242	0.963370018508	27.0128372407	0.840912447189	0.562883111562
4	328569	410488	329184	409659	0.52410307743	0.480012426219	0.97727399735	318.068431036	0.948532798609	27.3744151414	0.768614775691	0.443595195686
4	555675	631066	555167	631703	0.800108766298	0.778117487196	0.959071295484	309.237012993	0.92488153196	21.7012617409	0.850598195156	0.425173240496
4	807692	914592	808247	915087	0.181824134705	0.46842006739	0.920687805239	251.345624373	0.945049875794	24.5352098372	0.873850438446	0.397029040863
4	914592	1018140	915087	1019818	0.522801019817	0.531008011	0.981043464796	270.081739086	0.933630108818	29.9098406297	0.825539698019	0.405135018787
4	1018140	1056365	1019818	1056468	0.711288423806	0.561473396999	0.905770760726	232.367394662	0.941342836315	18.4001573753	0.843955139172	0.349189405796
4	1056365	1162102	1056468	1161848	0.301228519818	0.424435376732	0.981510120949	258.461460417	0.956163466535	20.1054348782	0.860616505714	0.297947763749
5	59377	94047	59297	93977	0.467378136718	0.401023644752	0.938549049018	283.711651478	0.87406763782	63.1653104543	0.891757246925	0.954049401904
5	94047	145536	93977	145556	0.519994561945	0.546559646368	0.97717642851	310.447890483	0.933954371039	51.4738534315	0.900764852396	0.960374345843
5	211421	287901	211925	288463	0.411767782427	0.581789437926	0.952441306781	235.568185227	0.838149218078	48.4116001279	0.875850096392	1.32480506761
5	407130	438787	406782	438847	0.388855545377	0.815063152971	0.733929944378	422.034501824	0.830246131934	53.3921311441	0.885485661057	0.88693234265
6	69351	118717	68582	118626	0.124052991938	0.361511869555	0.738055084885	422.13946481	0.863028655388	83.2049146086	0.80546460955	3.65007473002
7	203771	286286	204024	286746	0.560104223475	0.484429776843	0.993561888623	236.363599777	0.967473947977	24.7382890037	0.90277512598	0.438570303824
7	286286	389349	286746	389312	0.468558066425	0.306958446269	0.977399992149	331.687106275	0.961056593802	33.9618704596	0.893508733545	0.566819591306
7	421184	485117	421367	485087	0.480487385231	0.322457627119	0.902470339512	441.43909338	0.865389366971	52.7343172972	0.881556028838	0.63228668728
7	508280	572817	508109	572502	0.453243875606	0.529731492554	0.980516800998	244.067420721	0.960069760799	29.1357888924	0.902307064962	0.463895131133
7	659246	714433	659665	715091	0.475057531665	0.650795655469	0.900764634743	265.00732167	0.892698709321	30.7973019417	0.920388976549	0.364585660519
7	714433	777946	715091	777644	0.268559192606	0.27405560085	0.988101749729	238.810954933	0.945800972646	37.1584584181	0.765366087641	1.54501335609
7	834680	888123	834755	888079	0.489156671594	0.477833620884	0.9872780119	255.672601268	0.92776516588	42.023787665	0.721712358094	0.776184065166
7	888123	978297	888079	978553	0.701111185042	0.595497048876	0.973492995664	298.628654933	0.938265956345	30.6982331704	0.839745819888	0.488445585997
8	133279	167633	133246	167889	0.839378238342	0.588401697313	0.927357471818	292.225861446	0.898059091173	41.1480676052	0.831688687024	0.920043952816
8	297041	359798	297112	359749	0.741797727744	0.841986365886	0.983272738446	228.868704233	0.948022280304	36.8055132358	0.915290353598	0.981402615716
8	447694	501984	447715	502240	0.750856511328	0.618615314076	0.944351379582	264.277090337	0.937434105666	36.1581499105	0.86070684859	1.00526533106
9	175292	214941	174380	214881	0.192463870463	0.250462951532	0.906132156951	296.32287826	0.844096029476	69.7221467958	0.713012419957	2.24253665616
9	247232	311422	247165	310813	0.555771927091	0.581149446958	0.986775104091	243.920555059	0.91122786085	51.105762012	0.849094398006	1.8687205012
10	99343	161993	99380	162020	0.557829209896	0.392975734355	0.901954687822	322.987168452	0.90345811672	44.0801784651	0.881136744211	0.819265333582
10	161993	204324	162020	204933	0.28560629326	0.399436068324	0.904102931317	255.620753236	0.913445775694	36.8935385359	0.907657290208	0.666057185073
10	227424	299273	228307	299315	0.711311222146	0.647497465074	0.959148832993	307.754027741	0.966141784273	25.4746667676	0.93144197134	0.790607709144
10	299273	374983	299315	374880	0.225729758288	0.468051787644	0.950121166947	319.134171345	0.928470261998	41.3850982397	0.853317300236	1.04489804453
